Delivery_person_Age,Delivery_person_Ratings,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_Orderd_hour,Delivery_city
39.0,4.5,,Sandstorms,Low,2,Meal,motorcycle,0.0,No,Metropolitian,,AGR
28.0,4.6,1900-01-01 23:55:00,Cloudy,Low,1,Drinks,motorcycle,1.0,No,Urban,23,HYD
36.0,4.5,1900-01-01 10:40:00,Fog,Low,1,Meal,scooter,1.0,No,Metropolitian,10,RANCHI
21.0,4.9,1900-01-01 21:45:00,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,21,ALH
23.0,4.6,1900-01-01 19:45:00,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,19,SUR
25.0,4.7,1900-01-01 21:50:00,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,21,ALH
27.0,4.7,1900-01-01 22:55:00,Cloudy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,22,SUR
22.0,4.7,1900-01-01 11:55:00,Windy,High,0,Snack,motorcycle,0.0,No,Metropolitian,11,PUNE
34.0,4.6,1900-01-01 18:35:00,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,18,VAD
24.0,4.8,1900-01-01 22:35:00,Stormy,Low,2,Snack,scooter,0.0,No,Urban,22,INDO
32.0,5.0,1900-01-01 17:50:00,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,17,PUNE
30.0,4.4,1900-01-01 20:35:00,Stormy,Jam,1,Drinks,motorcycle,2.0,No,Urban,20,PUNE
26.0,4.6,1900-01-01 17:35:00,Sunny,Medium,2,Snack,scooter,1.0,No,Metropolitian,17,BANG
30.0,4.8,1900-01-01 18:35:00,Cloudy,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,18,CHEN
31.0,4.8,1900-01-01 18:15:00,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,18,CHEN
31.0,4.8,1900-01-01 10:55:00,Fog,Low,1,Drinks,scooter,1.0,No,Metropolitian,10,JAP
39.0,4.8,1900-01-01 11:30:00,Cloudy,High,2,Snack,scooter,1.0,No,Metropolitian,11,ALH
38.0,4.7,1900-01-01 11:40:00,Sunny,High,2,Drinks,scooter,1.0,No,Urban,11,MUM
30.0,4.9,1900-01-01 19:40:00,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,19,JAP
28.0,4.5,1900-01-01 14:05:00,Fog,High,2,Buffet,scooter,1.0,No,Metropolitian,13,HYD
30.0,4.9,1900-01-01 18:10:00,Fog,Medium,2,Buffet,scooter,0.0,No,Urban,17,SUR
37.0,4.1,1900-01-01 12:35:00,Sandstorms,High,2,Meal,scooter,0.0,No,Metropolitian,12,BANG
36.0,4.7,1900-01-01 22:40:00,Windy,Low,2,Snack,scooter,1.0,No,Metropolitian,22,MYS
20.0,4.9,1900-01-01 20:20:00,Cloudy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,20,MYS
34.0,4.6,1900-01-01 17:40:00,Cloudy,Medium,2,Meal,scooter,0.0,No,Urban,17,VAD
26.0,4.7,1900-01-01 22:50:00,Stormy,Low,2,Buffet,scooter,1.0,No,,22,KOC
38.0,3.5,1900-01-01 19:35:00,Windy,Jam,2,Meal,electric_scooter,0.0,No,Urban,19,JAP
33.0,4.7,,Fog,Low,2,Snack,scooter,1.0,No,Metropolitian,22,INDO
37.0,5.0,1900-01-01 22:40:00,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,22,RANCHI
31.0,4.6,1900-01-01 23:55:00,Fog,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,23,BANG
29.0,4.6,1900-01-01 22:05:00,Fog,Jam,2,Snack,scooter,0.0,No,Metropolitian,,COIMB
20.0,4.1,1900-01-01 17:25:00,Stormy,Medium,0,Meal,motorcycle,1.0,No,Urban,17,MYS
36.0,5.0,1900-01-01 20:25:00,Sunny,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,20,VAD
34.0,4.5,1900-01-01 17:35:00,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,17,BANG
28.0,4.6,1900-01-01 11:35:00,Fog,High,0,Snack,motorcycle,0.0,No,Metropolitian,11,KOC
31.0,4.4,1900-01-01 19:25:00,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,19,CHEN
25.0,5.0,1900-01-01 11:45:00,Stormy,High,2,Meal,motorcycle,1.0,No,Metropolitian,11,MYS
22.0,4.6,1900-01-01 17:50:00,Sunny,Medium,1,Snack,motorcycle,0.0,No,Urban,17,CHEN
23.0,4.8,1900-01-01 10:45:00,Sunny,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,10,GOA
37.0,5.0,,Sandstorms,High,2,Meal,scooter,1.0,No,Urban,13,SUR
34.0,4.2,1900-01-01 10:55:00,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,10,HYD
36.0,4.8,1900-01-01 17:55:00,Sunny,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,17,JAP
36.0,5.0,,Sandstorms,Jam,2,Buffet,motorcycle,0.0,No,Metropolitian,19,MUM
22.0,4.6,1900-01-01 22:40:00,Cloudy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,22,PUNE
28.0,4.5,1900-01-01 22:25:00,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,22,HYD
28.0,4.6,,Stormy,Medium,2,Meal,electric_scooter,1.0,No,Urban,15,SUR
28.0,4.6,1900-01-01 18:10:00,Sandstorms,Medium,1,Drinks,scooter,0.0,No,Metropolitian,17,JAP
38.0,4.8,1900-01-01 09:20:00,Windy,Low,2,Buffet,motorcycle,1.0,No,Urban,9,PUNE
34.0,4.6,1900-01-01 21:45:00,Fog,Jam,0,Drinks,motorcycle,1.0,No,Urban,21,MYS
38.0,4.9,1900-01-01 23:20:00,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,23,MUM
21.0,4.0,1900-01-01 21:30:00,Stormy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,21,KNP
28.0,4.6,,Stormy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,8,COIMB
25.0,4.9,1900-01-01 15:55:00,Sandstorms,Medium,1,Snack,scooter,1.0,No,Metropolitian,15,VAD
39.0,4.6,1900-01-01 22:40:00,Sunny,Low,2,Snack,motorcycle,1.0,No,Metropolitian,22,MYS
36.0,3.5,1900-01-01 21:45:00,Stormy,Jam,2,Buffet,scooter,2.0,No,Urban,21,GOA
23.0,4.8,,Sunny,Low,2,Drinks,scooter,1.0,No,Urban,22,SUR
20.0,4.2,1900-01-01 21:15:00,Windy,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,,BHP
39.0,4.6,1900-01-01 23:50:00,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,KOL
31.0,4.6,1900-01-01 18:50:00,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,18,PUNE
36.0,5.0,1900-01-01 22:55:00,Fog,Low,2,Drinks,scooter,1.0,No,Urban,22,COIMB
38.0,4.6,1900-01-01 18:05:00,Sunny,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,17,INDO
29.0,5.0,1900-01-01 12:15:00,Windy,High,0,Drinks,motorcycle,1.0,No,Metropolitian,,HYD
34.0,4.9,,Sunny,Jam,2,Meal,electric_scooter,,No,Metropolitian,21,JAP
32.0,4.8,1900-01-01 09:30:00,Fog,Low,1,Snack,scooter,0.0,No,Metropolitian,9,RANCHI
33.0,4.8,1900-01-01 08:50:00,Cloudy,Low,1,Drinks,scooter,1.0,No,Urban,8,RANCHI
28.0,4.7,1900-01-01 22:30:00,Sandstorms,Low,1,Meal,scooter,1.0,No,Metropolitian,22,KNP
33.0,4.9,,Cloudy,Low,1,Meal,scooter,1.0,No,Metropolitian,23,MUM
29.0,5.0,1900-01-01 23:05:00,Cloudy,Low,2,Buffet,scooter,1.0,No,Urban,22,CHEN
20.0,4.6,1900-01-01 17:20:00,Fog,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,17,BANG
29.0,4.8,,Sunny,Low,1,Meal,scooter,,No,Metropolitian,10,CHEN
22.0,4.8,1900-01-01 18:35:00,Stormy,Medium,1,Snack,scooter,1.0,No,Urban,18,JAP
32.0,4.2,1900-01-01 22:05:00,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,21,JAP
39.0,4.0,1900-01-01 19:30:00,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,19,INDO
20.0,4.6,,Windy,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,20,AGR
27.0,4.6,1900-01-01 19:50:00,Sunny,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,19,PUNE
35.0,4.9,1900-01-01 09:55:00,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,9,INDO
33.0,5.0,1900-01-01 18:10:00,Stormy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,,RANCHI
30.0,4.7,1900-01-01 23:55:00,Fog,Low,2,Buffet,motorcycle,0.0,No,Urban,23,INDO
21.0,4.6,1900-01-01 11:55:00,Sunny,High,1,Meal,motorcycle,0.0,No,Metropolitian,11,CHEN
26.0,4.5,1900-01-01 20:45:00,Windy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,20,MUM
26.0,4.1,1900-01-01 19:50:00,Fog,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,19,KNP
,,1900-01-01 22:30:00,Sandstorms,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,22,MYS
25.0,4.8,1900-01-01 18:40:00,Cloudy,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,18,LUDH
38.0,4.2,1900-01-01 15:45:00,Stormy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,15,SUR
38.0,4.7,1900-01-01 21:25:00,Windy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,21,MYS
21.0,4.6,1900-01-01 10:35:00,Sandstorms,Low,1,Meal,scooter,1.0,No,Metropolitian,10,VAD
22.0,4.7,1900-01-01 17:40:00,Sunny,Medium,1,Meal,motorcycle,1.0,No,Urban,17,INDO
30.0,4.6,,Cloudy,Jam,2,Buffet,electric_scooter,2.0,No,Metropolitian,21,SUR
37.0,5.0,1900-01-01 09:25:00,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,9,COIMB
24.0,4.6,,Fog,Medium,2,Snack,scooter,0.0,No,Metropolitian,15,MYS
27.0,4.9,1900-01-01 21:50:00,Sunny,Jam,1,Drinks,motorcycle,0.0,No,Urban,21,RANCHI
38.0,4.8,1900-01-01 19:05:00,Sunny,Medium,1,Meal,scooter,1.0,No,Metropolitian,18,HYD
34.0,4.4,,Stormy,Jam,2,Buffet,scooter,1.0,No,Urban,21,BANG
38.0,4.8,1900-01-01 18:55:00,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,18,COIMB
38.0,3.9,1900-01-01 19:50:00,Sandstorms,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,19,MYS
22.0,4.8,1900-01-01 19:45:00,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,19,COIMB
23.0,4.9,1900-01-01 20:20:00,Sandstorms,Jam,1,Snack,scooter,0.0,No,Metropolitian,20,COIMB
24.0,4.8,1900-01-01 10:25:00,Sunny,Low,0,Drinks,motorcycle,0.0,No,Urban,10,BHP
35.0,4.8,1900-01-01 22:35:00,Fog,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,22,MUM
21.0,4.8,1900-01-01 08:35:00,Sandstorms,Low,2,Meal,motorcycle,0.0,No,Urban,8,MYS
26.0,4.1,1900-01-01 20:10:00,Fog,Jam,2,Buffet,scooter,1.0,No,Metropolitian,19,BANG
38.0,4.8,1900-01-01 09:55:00,Fog,Low,2,Drinks,electric_scooter,1.0,No,,9,SUR
32.0,4.9,1900-01-01 20:05:00,Windy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,,CHEN
28.0,4.7,,Fog,Medium,1,Drinks,motorcycle,0.0,No,Urban,17,VAD
30.0,4.6,1900-01-01 09:40:00,Sandstorms,Low,2,Buffet,motorcycle,1.0,No,Urban,9,INDO
39.0,4.6,,Cloudy,Jam,2,Snack,motorcycle,1.0,Yes,Semi-Urban,21,MUM
21.0,4.9,1900-01-01 11:40:00,Fog,High,0,Drinks,motorcycle,,No,Metropolitian,11,PUNE
25.0,4.8,1900-01-01 13:25:00,Windy,High,1,Snack,motorcycle,1.0,No,Metropolitian,13,KNP
22.0,4.7,1900-01-01 18:10:00,Sandstorms,Medium,2,Buffet,scooter,1.0,No,Metropolitian,17,COIMB
25.0,4.4,1900-01-01 21:10:00,Fog,Jam,1,Meal,motorcycle,1.0,Yes,Metropolitian,,PUNE
25.0,4.6,1900-01-01 18:05:00,Fog,Medium,2,Snack,electric_scooter,0.0,No,Metropolitian,,HYD
37.0,4.4,,Sandstorms,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,18,COIMB
33.0,4.9,1900-01-01 11:25:00,Sunny,High,0,Snack,motorcycle,0.0,No,Metropolitian,11,SUR
33.0,4.2,1900-01-01 17:25:00,Cloudy,Medium,1,Drinks,scooter,2.0,No,Urban,17,PUNE
33.0,4.7,1900-01-01 22:45:00,Sunny,Low,1,Buffet,scooter,0.0,No,Urban,22,BANG
32.0,4.6,1900-01-01 20:15:00,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,20,VAD
27.0,4.0,1900-01-01 08:35:00,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,8,VAD
38.0,4.8,1900-01-01 19:15:00,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,19,RANCHI
30.0,4.6,1900-01-01 22:35:00,Sunny,Low,2,Buffet,scooter,1.0,No,Metropolitian,22,KNP
28.0,4.1,1900-01-01 21:25:00,Cloudy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,21,DEH
30.0,4.9,1900-01-01 18:55:00,Sunny,Medium,2,Snack,scooter,1.0,No,Metropolitian,18,SUR
23.0,4.6,1900-01-01 08:30:00,Fog,Low,1,Snack,motorcycle,1.0,No,Metropolitian,8,BHP
31.0,4.0,1900-01-01 10:55:00,Stormy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,10,PUNE
20.0,4.8,1900-01-01 21:35:00,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,21,MUM
32.0,4.2,1900-01-01 22:15:00,Fog,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,,RANCHI
21.0,4.8,1900-01-01 20:55:00,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,20,COIMB
34.0,4.8,1900-01-01 18:55:00,Sunny,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,18,SUR
20.0,4.5,1900-01-01 19:35:00,Sandstorms,Jam,1,Buffet,scooter,1.0,No,Urban,19,MUM
31.0,4.9,1900-01-01 19:35:00,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Semi-Urban,19,HYD
20.0,4.8,,Sandstorms,Low,1,Snack,motorcycle,0.0,No,,23,BANG
29.0,4.6,,Sunny,Low,0,Drinks,motorcycle,1.0,No,Urban,23,HYD
23.0,3.8,1900-01-01 19:30:00,Sunny,Jam,0,Drinks,motorcycle,2.0,Yes,Metropolitian,19,BANG
39.0,4.5,1900-01-01 22:30:00,Sunny,Low,1,Snack,scooter,1.0,No,Urban,22,PUNE
27.0,4.6,1900-01-01 08:50:00,Stormy,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,8,PUNE
33.0,4.5,1900-01-01 19:45:00,Sandstorms,Jam,1,Meal,scooter,1.0,No,Metropolitian,19,BANG
24.0,4.8,1900-01-01 10:25:00,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,10,CHEN
21.0,4.3,1900-01-01 21:30:00,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Urban,21,RANCHI
35.0,4.3,1900-01-01 11:40:00,Sandstorms,High,0,Drinks,motorcycle,1.0,No,Metropolitian,11,AGR
32.0,4.6,1900-01-01 19:05:00,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,18,KOC
26.0,4.2,1900-01-01 19:15:00,Cloudy,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,,SUR
23.0,4.9,1900-01-01 21:35:00,Sandstorms,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,21,SUR
38.0,4.7,1900-01-01 18:25:00,Sunny,Medium,1,Snack,motorcycle,1.0,No,Urban,18,BANG
39.0,4.8,1900-01-01 08:40:00,Windy,Low,1,Snack,scooter,1.0,No,Metropolitian,8,MUM
28.0,4.6,1900-01-01 22:55:00,Fog,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,22,HYD
37.0,4.6,1900-01-01 22:10:00,Sunny,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,21,MUM
26.0,4.9,1900-01-01 11:40:00,Cloudy,High,2,Snack,electric_scooter,1.0,No,Metropolitian,11,BANG
26.0,4.7,1900-01-01 12:40:00,Cloudy,High,1,Drinks,scooter,1.0,No,Metropolitian,12,HYD
28.0,4.7,,Stormy,Jam,2,Meal,scooter,1.0,No,Metropolitian,21,RANCHI
23.0,4.8,,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,COIMB
29.0,4.3,1900-01-01 08:35:00,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,,8,MUM
38.0,4.7,1900-01-01 17:20:00,Windy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,17,INDO
21.0,4.7,1900-01-01 16:45:00,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,INDO
20.0,4.8,1900-01-01 20:25:00,Stormy,Jam,1,Drinks,scooter,0.0,No,Metropolitian,20,INDO
25.0,4.9,1900-01-01 09:50:00,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,9,BANG
28.0,4.9,,Sunny,Low,2,Snack,scooter,0.0,No,Urban,10,VAD
22.0,4.7,1900-01-01 17:30:00,Windy,Medium,1,Meal,scooter,1.0,No,Urban,17,MUM
32.0,4.6,1900-01-01 09:30:00,Cloudy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,9,MUM
31.0,5.0,1900-01-01 22:05:00,Sunny,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,,PUNE
30.0,4.8,1900-01-01 18:25:00,Sunny,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,18,CHEN
26.0,4.6,1900-01-01 17:55:00,Fog,Medium,1,Drinks,scooter,1.0,No,Metropolitian,17,INDO
32.0,4.2,,Cloudy,Jam,1,Meal,scooter,0.0,No,Metropolitian,19,MUM
22.0,5.0,1900-01-01 22:50:00,Windy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,22,INDO
23.0,4.5,1900-01-01 18:25:00,Sunny,Medium,1,Snack,scooter,0.0,No,Urban,18,MYS
30.0,5.0,1900-01-01 23:15:00,Stormy,Low,2,Drinks,scooter,1.0,No,Metropolitian,23,HYD
27.0,5.0,1900-01-01 22:45:00,Fog,Low,1,Buffet,scooter,1.0,No,Metropolitian,22,COIMB
27.0,4.8,1900-01-01 20:50:00,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,20,RANCHI
38.0,4.0,,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,22,GOA
37.0,4.6,1900-01-01 21:30:00,Sunny,Jam,1,Meal,scooter,1.0,No,Metropolitian,21,CHEN
30.0,4.9,1900-01-01 23:05:00,Fog,Low,2,Buffet,scooter,0.0,No,Metropolitian,22,INDO
22.0,5.0,1900-01-01 23:30:00,Sandstorms,Low,1,Meal,motorcycle,0.0,No,Metropolitian,23,HYD
34.0,5.0,1900-01-01 19:55:00,Sandstorms,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,19,INDO
33.0,4.7,1900-01-01 10:25:00,Cloudy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,10,AGR
25.0,4.7,1900-01-01 10:30:00,Fog,Low,2,Buffet,scooter,1.0,No,Metropolitian,10,COIMB
36.0,4.8,1900-01-01 18:50:00,Fog,Medium,1,Meal,motorcycle,1.0,No,Urban,18,SUR
35.0,4.3,1900-01-01 22:10:00,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,21,SUR
29.0,5.0,1900-01-01 16:10:00,Fog,Medium,2,Meal,scooter,0.0,No,Urban,15,SUR
24.0,4.5,1900-01-01 09:35:00,Stormy,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,9,VAD
21.0,5.0,1900-01-01 18:35:00,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,18,INDO
20.0,5.0,1900-01-01 20:50:00,Cloudy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,20,BANG
21.0,4.5,1900-01-01 08:25:00,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,8,MUM
22.0,4.5,1900-01-01 23:05:00,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,22,RANCHI
21.0,4.9,1900-01-01 23:50:00,Sandstorms,Low,1,Snack,scooter,1.0,No,,23,CHEN
21.0,4.7,1900-01-01 08:20:00,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,8,GOA
21.0,4.2,1900-01-01 18:55:00,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,18,JAP
37.0,4.5,1900-01-01 16:45:00,Fog,Medium,2,Drinks,scooter,1.0,No,Urban,16,JAP
21.0,4.7,1900-01-01 20:15:00,Stormy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,20,MYS
35.0,4.7,1900-01-01 21:50:00,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,21,COIMB
20.0,4.8,1900-01-01 09:25:00,Cloudy,Low,0,Buffet,motorcycle,0.0,No,Urban,9,BANG
31.0,4.9,1900-01-01 19:25:00,Sandstorms,Jam,0,Meal,motorcycle,0.0,No,Urban,19,GOA
22.0,4.6,1900-01-01 20:55:00,Sunny,Jam,2,Drinks,scooter,1.0,No,Metropolitian,20,DEH
37.0,4.8,1900-01-01 11:10:00,Fog,Low,1,Buffet,scooter,0.0,No,Metropolitian,,HYD
27.0,4.9,1900-01-01 18:35:00,Fog,Medium,1,Drinks,scooter,0.0,No,Urban,18,HYD
31.0,4.8,1900-01-01 21:20:00,Sandstorms,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,21,PUNE
22.0,4.9,1900-01-01 23:25:00,Sunny,Low,1,Snack,scooter,0.0,No,Metropolitian,23,SUR
25.0,5.0,1900-01-01 23:45:00,Fog,Low,0,Meal,motorcycle,1.0,No,Urban,23,BANG
26.0,4.9,1900-01-01 19:15:00,Cloudy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,,HYD
20.0,4.7,1900-01-01 10:15:00,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Urban,10,MUM
