Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance,Time_Orderd_hour,Delivery_city
26.0,4.6,Sunny,Medium,2,Snack,scooter,1.0,No,Metropolitian,18,20002.511162591247,17,BANG
30.0,4.8,Cloudy,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,33,20002.488483638954,18,CHEN
31.0,4.8,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,24,20002.515700650336,18,CHEN
31.0,4.8,Fog,Low,1,Drinks,scooter,1.0,No,Metropolitian,18,20002.520251244823,10,JAP
38.0,4.7,Sunny,High,2,Drinks,scooter,1.0,No,Urban,18,20002.51969127369,11,MUM
30.0,4.9,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,30,20002.518858543306,19,JAP
28.0,4.5,Fog,High,2,Buffet,scooter,1.0,No,Metropolitian,21,20002.517462183678,13,HYD
30.0,4.9,Fog,Medium,2,Buffet,scooter,0.0,No,Urban,16,20002.51390042562,17,SUR
37.0,4.1,Sandstorms,High,2,Meal,scooter,0.0,No,Metropolitian,32,20002.517399850043,12,BANG
36.0,4.7,Windy,Low,2,Snack,scooter,1.0,No,Metropolitian,21,20002.488401959614,22,MYS
20.0,4.9,Cloudy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,42,20002.508296582713,20,MYS
34.0,4.6,Cloudy,Medium,2,Meal,scooter,0.0,No,Urban,17,20002.515926825643,17,VAD
26.0,4.7,Stormy,Low,2,Buffet,scooter,1.0,No,,17,20002.488149144374,22,KOC
38.0,3.5,Windy,Jam,2,Meal,electric_scooter,0.0,No,Urban,41,20002.486284991304,19,JAP
33.0,4.7,Fog,Low,2,Snack,scooter,1.0,No,Metropolitian,30,20002.490111132756,22,INDO
37.0,5.0,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,28,20002.49024625837,22,RANCHI
31.0,4.6,Fog,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,16,20002.51872399146,23,BANG
29.0,4.6,Fog,Jam,2,Snack,scooter,0.0,No,Metropolitian,26,20002.51871184559,,COIMB
20.0,4.1,Stormy,Medium,0,Meal,motorcycle,1.0,No,Urban,35,20002.488402290925,17,MYS
34.0,4.5,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,26,20002.513618891924,17,BANG
28.0,4.6,Fog,High,0,Snack,motorcycle,0.0,No,Metropolitian,21,20002.519661249502,11,KOC
31.0,4.4,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,36,20002.511166584307,19,CHEN
25.0,5.0,Stormy,High,2,Meal,motorcycle,1.0,No,Metropolitian,29,20002.5196673457,11,MYS
22.0,4.6,Sunny,Medium,1,Snack,motorcycle,0.0,No,Urban,13,20002.497562003882,17,CHEN
23.0,4.8,Sunny,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,19,20002.520238440025,10,GOA
37.0,5.0,Sandstorms,High,2,Meal,scooter,1.0,No,Urban,28,20002.517524558836,13,SUR
34.0,4.2,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,25,20002.51968456174,10,HYD
36.0,4.8,Sunny,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,15,20002.50632736721,17,JAP
36.0,5.0,Sandstorms,Jam,2,Buffet,motorcycle,0.0,No,Metropolitian,32,20002.518772540257,19,MUM
22.0,4.6,Cloudy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,20,20002.508642490746,22,PUNE
28.0,4.5,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,22,20002.489127845427,22,HYD
28.0,4.6,Stormy,Medium,2,Meal,electric_scooter,1.0,No,Urban,25,20002.51752475865,15,SUR
28.0,4.6,Sandstorms,Medium,1,Drinks,scooter,0.0,No,Metropolitian,19,20002.499368976965,17,JAP
38.0,4.8,Windy,Low,2,Buffet,motorcycle,1.0,No,Urban,24,20002.51968908384,9,PUNE
34.0,4.6,Fog,Jam,0,Drinks,motorcycle,1.0,No,Urban,30,20002.513603731695,21,MYS
38.0,4.9,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,25,20002.50554574344,23,MUM
21.0,4.0,Stormy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,32,20002.49929771976,21,KNP
28.0,4.6,Stormy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,11,20002.52023499132,8,COIMB
39.0,4.6,Sunny,Low,2,Snack,motorcycle,1.0,No,Metropolitian,16,20002.488401450675,22,MYS
23.0,4.8,Sunny,Low,2,Drinks,scooter,1.0,No,Urban,16,20002.5187937397,22,SUR
20.0,4.2,Windy,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,35,20002.505942451262,,BHP
39.0,4.6,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,20002.490075223563,23,KOL
31.0,4.6,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,46,20002.498152402422,18,PUNE
36.0,5.0,Fog,Low,2,Drinks,scooter,1.0,No,Urban,16,20002.51357108478,22,COIMB
38.0,4.6,Sunny,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,22,20002.51396565473,17,INDO
29.0,5.0,Windy,High,0,Drinks,motorcycle,1.0,No,Metropolitian,22,20002.519684455106,,HYD
34.0,4.9,Sunny,Jam,2,Meal,electric_scooter,,No,Metropolitian,15,20002.51885875984,21,JAP
33.0,4.8,Cloudy,Low,1,Drinks,scooter,1.0,No,Urban,19,20002.520246757063,8,RANCHI
28.0,4.7,Sandstorms,Low,1,Meal,scooter,1.0,No,Metropolitian,17,20002.506281525788,22,KNP
33.0,4.9,Cloudy,Low,1,Meal,scooter,1.0,No,Metropolitian,27,20002.489428108693,23,MUM
29.0,5.0,Cloudy,Low,2,Buffet,scooter,1.0,No,Urban,24,20002.505117295663,22,CHEN
20.0,4.6,Fog,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,29,20002.518723957866,17,BANG
29.0,4.8,Sunny,Low,1,Meal,scooter,,No,Metropolitian,23,20002.519669398112,10,CHEN
22.0,4.8,Stormy,Medium,1,Snack,scooter,1.0,No,Urban,15,20002.506327491345,18,JAP
32.0,4.2,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,32,20002.516073952876,21,JAP
39.0,4.0,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,33,20002.515940307043,19,INDO
27.0,4.6,Sunny,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,15,20002.511404605553,19,PUNE
35.0,4.9,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,22,20002.52024593147,9,INDO
33.0,5.0,Stormy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,27,20002.511670982964,,RANCHI
30.0,4.7,Fog,Low,2,Buffet,motorcycle,0.0,No,Urban,16,20002.51593923564,23,INDO
21.0,4.6,Sunny,High,1,Meal,motorcycle,0.0,No,Metropolitian,19,20002.519669223744,11,CHEN
26.0,4.5,Windy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,17,20002.50868004533,20,MUM
26.0,4.1,Fog,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,36,20002.506282357877,19,KNP
,,Sandstorms,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,25,20002.518719891632,22,MYS
25.0,4.8,Cloudy,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,16,20002.516216481985,18,LUDH
38.0,4.2,Stormy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,39,20002.51752499539,15,SUR
38.0,4.7,Windy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,33,20002.515687588366,21,MYS
21.0,4.6,Sandstorms,Low,1,Meal,scooter,1.0,No,Metropolitian,17,20002.519705560677,10,VAD
22.0,4.7,Sunny,Medium,1,Meal,motorcycle,1.0,No,Urban,14,20002.498717686212,17,INDO
30.0,4.6,Cloudy,Jam,2,Buffet,electric_scooter,2.0,No,Metropolitian,38,20002.515893940883,21,SUR
37.0,5.0,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,29,20002.519663811756,9,COIMB
24.0,4.6,Fog,Medium,2,Snack,scooter,0.0,No,Metropolitian,17,20002.517392972106,15,MYS
27.0,4.9,Sunny,Jam,1,Drinks,motorcycle,0.0,No,Urban,19,20002.518817347405,21,RANCHI
38.0,4.8,Sunny,Medium,1,Meal,scooter,1.0,No,Metropolitian,23,20002.48913037868,18,HYD
34.0,4.4,Stormy,Jam,2,Buffet,scooter,1.0,No,Urban,31,20002.515698875202,21,BANG
38.0,4.8,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,28,20002.51357151157,18,COIMB
38.0,3.9,Sandstorms,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,34,20002.508297234428,19,MYS
22.0,4.8,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,27,20002.4882542533,19,COIMB
23.0,4.9,Sandstorms,Jam,1,Snack,scooter,0.0,No,Metropolitian,23,20002.488247469922,20,COIMB
35.0,4.8,Fog,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,16,20002.513818897543,22,MUM
21.0,4.8,Sandstorms,Low,2,Meal,motorcycle,0.0,No,Urban,13,20002.519667345558,8,MYS
26.0,4.1,Fog,Jam,2,Buffet,scooter,1.0,No,Metropolitian,36,20002.505114010644,19,BANG
38.0,4.8,Fog,Low,2,Drinks,electric_scooter,1.0,No,,19,20002.52024408644,9,SUR
32.0,4.9,Windy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,28,20002.497558643507,,CHEN
30.0,4.6,Sandstorms,Low,2,Buffet,motorcycle,1.0,No,Urban,23,20002.52024593533,9,INDO
39.0,4.6,Cloudy,Jam,2,Snack,motorcycle,1.0,Yes,Semi-Urban,47,20002.498240523273,21,MUM
21.0,4.9,Fog,High,0,Drinks,motorcycle,,No,Metropolitian,20,20002.5202413205,11,PUNE
25.0,4.8,Windy,High,1,Snack,motorcycle,1.0,No,Metropolitian,28,20002.517631185496,13,KNP
22.0,4.7,Sandstorms,Medium,2,Buffet,scooter,1.0,No,Metropolitian,21,20002.518711723158,17,COIMB
25.0,4.4,Fog,Jam,1,Meal,motorcycle,1.0,Yes,Metropolitian,44,20002.505513069522,,PUNE
25.0,4.6,Fog,Medium,2,Snack,electric_scooter,0.0,No,Metropolitian,10,20002.51375826035,,HYD
37.0,4.4,Sandstorms,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,39,20002.488252294614,18,COIMB
33.0,4.9,Sunny,High,0,Snack,motorcycle,0.0,No,Metropolitian,26,20002.51970014872,11,SUR
33.0,4.2,Cloudy,Medium,1,Drinks,scooter,2.0,No,Urban,42,20002.508642669814,17,PUNE
33.0,4.7,Sunny,Low,1,Buffet,scooter,0.0,No,Urban,12,20002.515700346994,22,BANG
27.0,4.0,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,18,20002.52024544916,8,VAD
28.0,4.1,Cloudy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,32,20002.50960006734,21,DEH
30.0,4.9,Sunny,Medium,2,Snack,scooter,1.0,No,Metropolitian,22,20002.489798532602,18,SUR
31.0,4.0,Stormy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23,20002.52024128877,10,PUNE
20.0,4.8,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,32,20002.511430686136,21,MUM
32.0,4.2,Fog,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,39,20002.518817232674,,RANCHI
21.0,4.8,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,16,20002.50824121828,20,COIMB
34.0,4.8,Sunny,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,27,20002.511542579512,18,SUR
20.0,4.5,Sandstorms,Jam,1,Buffet,scooter,1.0,No,Urban,25,20002.51381781723,19,MUM
31.0,4.9,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Semi-Urban,46,20002.515794830193,19,HYD
20.0,4.8,Sandstorms,Low,1,Snack,motorcycle,0.0,No,,14,20002.488481661345,23,BANG
29.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,Urban,28,20002.49801802673,23,HYD
23.0,3.8,Sunny,Jam,0,Drinks,motorcycle,2.0,Yes,Metropolitian,41,20002.51569925301,19,BANG
39.0,4.5,Sunny,Low,1,Snack,scooter,1.0,No,Urban,24,20002.48931162393,22,PUNE
27.0,4.6,Stormy,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,17,20002.52024125662,8,PUNE
33.0,4.5,Sandstorms,Jam,1,Meal,scooter,1.0,No,Metropolitian,29,20002.50832445295,19,BANG
24.0,4.8,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,11,20002.519669343284,10,CHEN
21.0,4.3,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Urban,38,20002.518817228527,21,RANCHI
32.0,4.6,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,30,20002.504953634663,18,KOC
26.0,4.2,Cloudy,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,35,20002.5057456079,,SUR
23.0,4.9,Sandstorms,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,25,20002.489796027745,21,SUR
38.0,4.7,Sunny,Medium,1,Snack,motorcycle,1.0,No,Urban,20,20002.51569861108,18,BANG
39.0,4.8,Windy,Low,1,Snack,scooter,1.0,No,Metropolitian,20,20002.519691312027,8,MUM
28.0,4.6,Fog,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,25,20002.505422397335,22,HYD
37.0,4.6,Sunny,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,19,20002.513816474577,21,MUM
26.0,4.9,Cloudy,High,2,Snack,electric_scooter,1.0,No,Metropolitian,31,20002.520236348977,11,BANG
26.0,4.7,Cloudy,High,1,Drinks,scooter,1.0,No,Metropolitian,33,20002.517461460397,12,HYD
28.0,4.7,Stormy,Jam,2,Meal,scooter,1.0,No,Metropolitian,18,20002.51399336247,21,RANCHI
23.0,4.8,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,18,20002.48825439131,23,COIMB
29.0,4.3,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,,27,20002.519691522644,8,MUM
38.0,4.7,Windy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,28,20002.51593990929,17,INDO
21.0,4.7,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,20002.517554845886,16,INDO
20.0,4.8,Stormy,Jam,1,Drinks,scooter,0.0,No,Metropolitian,25,20002.505889188404,20,INDO
25.0,4.9,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,20,20002.519669176814,9,BANG
22.0,4.7,Windy,Medium,1,Meal,scooter,1.0,No,Urban,28,20002.51143200091,17,MUM
32.0,4.6,Cloudy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,16,20002.5202418482,9,MUM
31.0,5.0,Sunny,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,36,20002.51140434591,,PUNE
30.0,4.8,Sunny,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,23,20002.515699298798,18,CHEN
26.0,4.6,Fog,Medium,1,Drinks,scooter,1.0,No,Metropolitian,25,20002.511634768012,17,INDO
32.0,4.2,Cloudy,Jam,1,Meal,scooter,0.0,No,Metropolitian,40,20002.48943621965,19,MUM
22.0,5.0,Windy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,19,20002.511631298636,22,INDO
23.0,4.5,Sunny,Medium,1,Snack,scooter,0.0,No,Urban,11,20002.508297133107,18,MYS
30.0,5.0,Stormy,Low,2,Drinks,scooter,1.0,No,Metropolitian,20,20002.508570785005,23,HYD
27.0,5.0,Fog,Low,1,Buffet,scooter,1.0,No,Metropolitian,13,20002.51871184633,22,COIMB
27.0,4.8,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,41,20002.508996018412,20,RANCHI
38.0,4.0,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,41,20002.508447185646,22,GOA
37.0,4.6,Sunny,Jam,1,Meal,scooter,1.0,No,Metropolitian,22,20002.51362029983,21,CHEN
30.0,4.9,Fog,Low,2,Buffet,scooter,0.0,No,Metropolitian,30,20002.49011242516,22,INDO
22.0,5.0,Sandstorms,Low,1,Meal,motorcycle,0.0,No,Metropolitian,17,20002.513757626297,23,HYD
34.0,5.0,Sandstorms,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,39,20002.498717092156,19,INDO
33.0,4.7,Cloudy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,25,20002.520251719383,10,AGR
25.0,4.7,Fog,Low,2,Buffet,scooter,1.0,No,Metropolitian,14,20002.52023499063,10,COIMB
36.0,4.8,Fog,Medium,1,Meal,motorcycle,1.0,No,Urban,35,20002.498497713466,18,SUR
35.0,4.3,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,33,20002.513899246234,21,SUR
29.0,5.0,Fog,Medium,2,Meal,scooter,0.0,No,Urban,12,20002.5175247571,15,SUR
24.0,4.5,Stormy,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,13,20002.52024543766,9,VAD
21.0,5.0,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,35,20002.508943697198,18,INDO
20.0,5.0,Cloudy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,42,20002.49755432336,20,BANG
21.0,4.5,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,23,20002.520241924776,8,MUM
22.0,4.5,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.515958516797,22,RANCHI
21.0,4.9,Sandstorms,Low,1,Snack,scooter,1.0,No,,19,20002.511165935946,23,CHEN
21.0,4.7,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,13,20002.51967732275,8,GOA
21.0,4.2,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,31,20002.48632211421,18,JAP
37.0,4.5,Fog,Medium,2,Drinks,scooter,1.0,No,Urban,17,20002.51764036869,16,JAP
21.0,4.7,Stormy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.508297622517,20,MYS
35.0,4.7,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,47,20002.51109476854,21,COIMB
20.0,4.8,Cloudy,Low,0,Buffet,motorcycle,0.0,No,Urban,21,20002.519669116737,9,BANG
31.0,4.9,Sandstorms,Jam,0,Meal,motorcycle,0.0,No,Urban,33,20002.518742408516,19,GOA
37.0,4.8,Fog,Low,1,Buffet,scooter,0.0,No,Metropolitian,17,20002.520240172646,,HYD
27.0,4.9,Fog,Medium,1,Drinks,scooter,0.0,No,Urban,18,20002.515796080163,18,HYD
31.0,4.8,Sandstorms,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,30,20002.518769121103,21,PUNE
22.0,4.9,Sunny,Low,1,Snack,scooter,0.0,No,Metropolitian,18,20002.51879384873,23,SUR
25.0,5.0,Fog,Low,0,Meal,motorcycle,1.0,No,Urban,23,20002.51116116559,23,BANG
26.0,4.9,Cloudy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,16,20002.518758549824,,HYD
20.0,4.7,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Urban,17,20002.52024187269,10,MUM
27.0,4.1,Cloudy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,31,20002.50868130427,17,MUM
36.0,4.0,Stormy,Low,0,Meal,motorcycle,0.0,No,,23,20002.520235004304,8,COIMB
29.0,4.6,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,17,20002.51876822842,17,PUNE
33.0,4.9,Fog,Low,1,Drinks,scooter,1.0,No,Metropolitian,17,20002.51589297781,23,SUR
32.0,4.3,Cloudy,Jam,1,Meal,scooter,0.0,No,Metropolitian,33,20002.514158809918,20,JAP
27.0,4.5,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,46,20002.498152038013,21,PUNE
34.0,4.8,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,40,20002.508332710146,19,CHEN
29.0,4.7,Sunny,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,19,20002.50528456348,19,GOA
28.0,4.9,Sunny,High,2,Meal,motorcycle,0.0,No,Urban,12,20002.517369434077,14,KOC
32.0,4.3,Stormy,Jam,0,Buffet,motorcycle,0.0,No,Urban,39,20002.508329834134,19,CHEN
22.0,4.7,Sunny,Low,0,Snack,motorcycle,0.0,,Metropolitian,10,20002.518723684596,22,BANG
37.0,4.9,Sunny,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,29,20002.509287444944,22,JAP
29.0,4.6,Cloudy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,22,20002.519691522644,8,MUM
36.0,3.8,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,37,20002.509286750603,21,JAP
34.0,4.1,Stormy,Medium,2,Drinks,motorcycle,2.0,No,Urban,34,20002.505511385312,,PUNE
24.0,4.5,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,21,20002.51143662322,22,MUM
33.0,4.6,Fog,Jam,0,Buffet,motorcycle,1.0,No,Urban,29,20002.51872451498,20,CHEN
35.0,3.9,Windy,Jam,1,Snack,motorcycle,2.0,No,Metropolitian,38,20002.50868161537,19,MUM
31.0,4.8,Stormy,Low,1,Drinks,scooter,0.0,No,Metropolitian,28,20002.488252505085,23,COIMB
39.0,4.5,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,27,20002.518711728822,17,COIMB
21.0,4.9,Sunny,Jam,1,Meal,motorcycle,1.0,No,Urban,18,20002.505075977304,19,MYS
36.0,4.6,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,25,20002.515958412543,21,RANCHI
30.0,4.8,Windy,Low,2,Snack,scooter,0.0,No,Metropolitian,23,20002.513693354125,22,GOA
